Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Dummy,depth [m],latitude [degrees_north],longitude [degrees_east],thetao [degrees_C],time [hours since 1950-01-01 00:00:00]
global-analysis-forecast-phy-001-024_1650864189395.nc,155,B,2022-04-01T12:00:00,98.66666,1.16667,0,0.49402,1.16667,98.66666,31.254952,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,156,B,2022-04-01T12:00:00,98.75,1.16667,0,0.49402,1.16667,98.75,31.295968,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,157,B,2022-04-01T12:00:00,98.83334,1.16667,0,0.49402,1.16667,98.83334,31.487869,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,163,B,2022-04-01T12:00:00,97.66666,1.25,0,0.49402,1.25,97.66666,31.030824,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,164,B,2022-04-01T12:00:00,97.75,1.25,0,0.49402,1.25,97.75,31.009583,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,165,B,2022-04-01T12:00:00,97.83334,1.25,0,0.49402,1.25,97.83334,31.003723,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,166,B,2022-04-01T12:00:00,97.91666,1.25,0,0.49402,1.25,97.91666,30.94879,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,167,B,2022-04-01T12:00:00,98.0,1.25,0,0.49402,1.25,98.0,30.894589,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,168,B,2022-04-01T12:00:00,98.08334,1.25,0,0.49402,1.25,98.08334,30.930479,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,169,B,2022-04-01T12:00:00,98.16666,1.25,0,0.49402,1.25,98.16666,30.971496,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,170,B,2022-04-01T12:00:00,98.25,1.25,0,0.49402,1.25,98.25,31.00885,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,171,B,2022-04-01T12:00:00,98.33334,1.25,0,0.49402,1.25,98.33334,31.08063,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,172,B,2022-04-01T12:00:00,98.41666,1.25,0,0.49402,1.25,98.41666,31.126774,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,173,B,2022-04-01T12:00:00,98.5,1.25,0,0.49402,1.25,98.5,31.145817,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,174,B,2022-04-01T12:00:00,98.58334,1.25,0,0.49402,1.25,98.58334,31.224921,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,175,B,2022-04-01T12:00:00,98.66666,1.25,0,0.49402,1.25,98.66666,31.287179,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,176,B,2022-04-01T12:00:00,98.75,1.25,0,0.49402,1.25,98.75,31.323069,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,177,B,2022-04-01T12:00:00,98.83334,1.25,0,0.49402,1.25,98.83334,31.53621,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,182,B,2022-04-01T12:00:00,97.58334,1.33333,0,0.49402,1.33333,97.58334,31.044008,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,183,B,2022-04-01T12:00:00,97.66666,1.33333,0,0.49402,1.33333,97.66666,31.025697,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,184,B,2022-04-01T12:00:00,97.75,1.33333,0,0.49402,1.33333,97.75,31.018372,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,185,B,2022-04-01T12:00:00,97.83334,1.33333,0,0.49402,1.33333,97.83334,30.997864,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,186,B,2022-04-01T12:00:00,97.91666,1.33333,0,0.49402,1.33333,97.91666,30.973693,633324
