Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Dummy,depth [m],latitude [degrees_north],longitude [degrees_east],time [hours since 1950-01-01 00:00:00],uo [m s-1],vo [m s-1]
global-analysis-forecast-phy-001-024_1650864290144.nc,88,B,2022-04-01T12:00:00,98.08334,0.91667,0,0.49402,0.91667,98.08334,633324,0.090335,-0.229499
global-analysis-forecast-phy-001-024_1650864290144.nc,89,B,2022-04-01T12:00:00,98.16666,0.91667,0,0.49402,0.91667,98.16666,633324,0.078127,-0.195318
global-analysis-forecast-phy-001-024_1650864290144.nc,90,B,2022-04-01T12:00:00,98.25,0.91667,0,0.49402,0.91667,98.25,633324,0.061037,-0.167241
global-analysis-forecast-phy-001-024_1650864290144.nc,91,B,2022-04-01T12:00:00,98.33334,0.91667,0,0.49402,0.91667,98.33334,633324,0.042116,-0.147099
global-analysis-forecast-phy-001-024_1650864290144.nc,92,B,2022-04-01T12:00:00,98.41666,0.91667,0,0.49402,0.91667,98.41666,633324,0.021363,-0.13245
global-analysis-forecast-phy-001-024_1650864290144.nc,93,B,2022-04-01T12:00:00,98.5,0.91667,0,0.49402,0.91667,98.5,633324,-0.001221,-0.123905
global-analysis-forecast-phy-001-024_1650864290144.nc,94,B,2022-04-01T12:00:00,98.58334,0.91667,0,0.49402,0.91667,98.58334,633324,-0.014649,-0.137333
global-analysis-forecast-phy-001-024_1650864290144.nc,95,B,2022-04-01T12:00:00,98.66666,0.91667,0,0.49402,0.91667,98.66666,633324,-0.010376,-0.166021
global-analysis-forecast-phy-001-024_1650864290144.nc,96,B,2022-04-01T12:00:00,98.75,0.91667,0,0.49402,0.91667,98.75,633324,0.0,-0.169073
global-analysis-forecast-phy-001-024_1650864290144.nc,97,B,2022-04-01T12:00:00,98.83334,0.91667,0,0.49402,0.91667,98.83334,633324,0.004883,-0.140996
global-analysis-forecast-phy-001-024_1650864290144.nc,98,B,2022-04-01T12:00:00,98.91666,0.91667,0,0.49402,0.91667,98.91666,633324,0.007324,-0.0824
global-analysis-forecast-phy-001-024_1650864290144.nc,106,B,2022-04-01T12:00:00,97.91666,1.0,0,0.49402,1.0,97.91666,633324,0.106204,-0.216071
global-analysis-forecast-phy-001-024_1650864290144.nc,107,B,2022-04-01T12:00:00,98.0,1.0,0,0.49402,1.0,98.0,633324,0.118412,-0.250252
global-analysis-forecast-phy-001-024_1650864290144.nc,108,B,2022-04-01T12:00:00,98.08334,1.0,0,0.49402,1.0,98.08334,633324,0.110477,-0.231941
global-analysis-forecast-phy-001-024_1650864290144.nc,109,B,2022-04-01T12:00:00,98.16666,1.0,0,0.49402,1.0,98.16666,633324,0.089724,-0.194098
global-analysis-forecast-phy-001-024_1650864290144.nc,110,B,2022-04-01T12:00:00,98.25,1.0,0,0.49402,1.0,98.25,633324,0.069582,-0.16419
global-analysis-forecast-phy-001-024_1650864290144.nc,111,B,2022-04-01T12:00:00,98.33334,1.0,0,0.49402,1.0,98.33334,633324,0.045167,-0.142216
global-analysis-forecast-phy-001-024_1650864290144.nc,112,B,2022-04-01T12:00:00,98.41666,1.0,0,0.49402,1.0,98.41666,633324,0.01587,-0.128788
global-analysis-forecast-phy-001-024_1650864290144.nc,113,B,2022-04-01T12:00:00,98.5,1.0,0,0.49402,1.0,98.5,633324,-0.011597,-0.128788
global-analysis-forecast-phy-001-024_1650864290144.nc,114,B,2022-04-01T12:00:00,98.58334,1.0,0,0.49402,1.0,98.58334,633324,-0.024415,-0.151372
